price,timestamp,capital,action
57615.85,2024-09-10 22:00:00,-4761.585,buy
57635.99,2024-09-10 23:00:00,-10525.184000000001,buy
57640.5,2024-09-11 00:00:00,-16289.234,buy
56717.99,2024-09-11 01:00:00,-21961.033,buy
56921.1,2024-09-11 02:00:00,-27653.143,buy
56819.55,2024-09-11 03:00:00,-33335.098,buy
56530.5,2024-09-11 04:00:00,-38988.148,buy
56244.0,2024-09-11 05:00:00,-44612.548,buy
56460.0,2024-09-11 06:00:00,-50258.548,buy
56712.0,2024-09-11 07:00:00,-55929.74800000001,buy
56398.0,2024-09-11 08:00:00,-61569.54800000001,buy
56677.99,2024-09-11 09:00:00,-67237.34700000001,buy
56510.0,2024-09-11 10:00:00,-72888.34700000001,buy
56797.99,2024-09-11 11:00:00,-78568.14600000001,buy
56748.01,2024-09-11 12:00:00,-84242.94700000001,buy
55740.0,2024-09-11 13:00:00,-89816.94700000001,buy
55974.0,2024-09-11 14:00:00,-95414.34700000001,buy
56701.23,2024-09-11 15:00:00,-101084.47000000002,buy
57312.0,2024-09-11 16:00:00,-106815.67000000001,buy
57694.0,2024-09-11 17:00:00,-112585.07,buy
57500.0,2024-09-11 18:00:00,-118335.07,buy
57585.5,2024-09-11 19:00:00,-124093.62000000001,buy
57486.0,2024-09-11 20:00:00,-129842.22000000002,buy
57352.0,2024-09-11 21:00:00,-135577.42,buy
57467.99,2024-09-11 22:00:00,-141324.219,buy
57338.0,2024-09-11 23:00:00,-147058.019,buy
57626.01,2024-09-12 00:00:00,-152820.62,buy
58137.74,2024-09-12 01:00:00,-158634.394,buy
57946.28,2024-09-12 02:00:00,-164429.022,buy
58232.72,2024-09-12 03:00:00,-170252.294,buy
58181.98,2024-09-12 04:00:00,-176070.492,buy
57968.01,2024-09-12 05:00:00,-181867.293,buy
57947.99,2024-09-12 06:00:00,-187662.092,buy
58138.16,2024-09-12 07:00:00,-193475.908,buy
58171.06,2024-09-12 08:00:00,-199293.014,buy
58022.0,2024-09-12 09:00:00,-205095.214,buy
57930.41,2024-09-12 10:00:00,-210888.255,buy
58057.99,2024-09-12 11:00:00,-216694.054,buy
57691.56,2024-09-12 12:00:00,-222463.21,buy
57627.99,2024-09-12 13:00:00,-228226.009,buy
57541.29,2024-09-12 14:00:00,-233980.13799999998,buy
57512.03,2024-09-12 15:00:00,-239731.341,buy
58065.99,2024-09-12 16:00:00,-245537.93999999997,buy
58389.1,2024-09-12 17:00:00,-251376.84999999998,buy
58181.99,2024-09-12 18:00:00,-257195.04899999997,buy
58388.0,2024-09-12 19:00:00,-263033.849,buy
58199.99,2024-09-12 20:00:00,-268853.848,buy
57921.11,2024-09-12 21:00:00,-274645.959,buy
58143.34,2024-09-12 22:00:00,-280460.29299999995,buy
58132.32,2024-09-12 23:00:00,-286273.52499999997,buy
58031.14,2024-09-13 00:00:00,-292076.63899999997,buy
58129.99,2024-09-13 01:00:00,-297889.638,buy
58050.8,2024-09-13 02:00:00,-303694.718,buy
57845.97,2024-09-13 03:00:00,-309479.315,buy
57844.0,2024-09-13 04:00:00,-315263.715,buy
57946.0,2024-09-13 05:00:00,-321058.315,buy
57767.01,2024-09-13 06:00:00,-326835.016,buy
58109.31,2024-09-13 07:00:00,-332645.947,buy
57953.64,2024-09-13 08:00:00,-338441.311,buy
58058.6,2024-09-13 09:00:00,-344247.171,buy
58343.99,2024-09-13 10:00:00,-350081.56999999995,buy
57871.1,2024-09-13 11:00:00,-355868.67999999993,buy
57910.0,2024-09-13 12:00:00,-361659.67999999993,buy
58056.01,2024-09-13 13:00:00,-367465.28099999996,buy
58456.89,2024-09-13 14:00:00,-373310.97,buy
59667.38,2024-09-13 15:00:00,-379277.708,buy
59452.31,2024-09-13 16:00:00,-385222.939,buy
59584.0,2024-09-13 17:00:00,-391181.33900000004,buy
59752.17,2024-09-13 18:00:00,-397156.55600000004,buy
59743.99,2024-09-13 19:00:00,-403130.955,buy
59838.52,2024-09-13 20:00:00,-409114.80700000003,buy
60283.86,2024-09-13 21:00:00,-415143.193,buy
60608.0,2024-09-13 22:00:00,-421203.993,buy
60498.0,2024-09-13 23:00:00,-427253.793,buy
60414.39,2024-09-14 00:00:00,-433295.232,buy
60406.06,2024-09-14 01:00:00,-439335.838,buy
60287.99,2024-09-14 02:00:00,-445364.637,buy
60329.37,2024-09-14 03:00:00,-451397.57399999996,buy
60213.05,2024-09-14 04:00:00,-457418.87899999996,buy
59926.0,2024-09-14 05:00:00,-463411.47899999993,buy
60046.0,2024-09-14 06:00:00,-469416.0789999999,buy
60138.14,2024-09-14 07:00:00,-475429.8929999999,buy
59973.99,2024-09-14 08:00:00,-481427.2919999999,buy
60070.2,2024-09-14 09:00:00,-487434.3119999999,buy
59851.09,2024-09-14 10:00:00,-493419.4209999999,buy
59706.39,2024-09-14 11:00:00,-499390.05999999994,buy
59794.03,2024-09-14 12:00:00,-505369.46299999993,buy
59769.11,2024-09-14 13:00:00,-511346.37399999995,buy
59914.0,2024-09-14 14:00:00,-517337.774,buy
59876.0,2024-09-14 15:00:00,-523325.37399999995,buy
59981.99,2024-09-14 16:00:00,-529323.573,buy
59885.26,2024-09-14 17:00:00,-535312.0989999999,buy
59786.0,2024-09-14 18:00:00,-541290.6989999999,buy
59810.0,2024-09-14 19:00:00,-547271.6989999999,buy
60024.01,2024-09-14 20:00:00,-553274.0999999999,buy
60036.0,2024-09-14 21:00:00,-559277.6999999998,buy
60006.97,2024-09-14 22:00:00,-565278.3969999999,buy
59993.03,2024-09-14 23:00:00,-571277.6999999998,buy
60025.95,2024-09-15 00:00:00,-577280.2949999998,buy
60235.22,2024-09-15 01:00:00,-583303.8169999998,buy
60238.01,2024-09-15 02:00:00,-589327.6179999998,buy
60155.93,2024-09-15 03:00:00,-595343.2109999998,buy
60117.99,2024-09-15 04:00:00,-601355.0099999998,buy
60160.0,2024-09-15 05:00:00,-607371.0099999998,buy
60164.01,2024-09-15 06:00:00,-613387.4109999997,buy
60196.0,2024-09-15 07:00:00,-619407.0109999997,buy
60069.99,2024-09-15 08:00:00,-625414.0099999997,buy
60016.0,2024-09-15 09:00:00,-631415.6099999996,buy
59991.3,2024-09-15 10:00:00,-637414.7399999996,buy
60000.51,2024-09-15 11:00:00,-643414.7909999996,buy
60104.39,2024-09-15 12:00:00,-649425.2299999996,buy
60189.98,2024-09-15 13:00:00,-655444.2279999997,buy
60279.52,2024-09-15 14:00:00,-661472.1799999997,buy
60335.41,2024-09-15 15:00:00,-667505.7209999997,buy
59950.05,2024-09-15 16:00:00,-673500.7259999997,buy
59814.07,2024-09-15 17:00:00,-679482.1329999997,buy
