price,timestamp,capital,action
57312.0,2024-09-11 16:00:00,0.0,buy
57694.0,2024-09-11 17:00:00,-1000.0,buy
57500.0,2024-09-11 18:00:00,-2000.0,buy
57626.01,2024-09-12 00:00:00,-3000.0,buy
58137.74,2024-09-12 01:00:00,-4000.0,buy
57946.28,2024-09-12 02:00:00,-5000.0,buy
59584.0,2024-09-13 17:00:00,-6000.0,buy
59743.99,2024-09-13 19:00:00,-7000.0,buy
60283.86,2024-09-13 21:00:00,-8000.0,buy
60608.0,2024-09-13 22:00:00,-9000.0,buy
60498.0,2024-09-13 23:00:00,-10000.0,buy
59236.0,2024-09-17 10:00:00,-11000.0,buy
59381.1,2024-09-17 12:00:00,-12000.0,buy
58966.0,2024-09-17 13:00:00,-13000.0,buy
60265.17,2024-09-17 14:00:00,-14000.0,buy
61135.5,2024-09-17 15:00:00,-15000.0,buy
60873.86,2024-09-17 16:00:00,-16000.0,buy
60958.37,2024-09-17 17:00:00,-17000.0,buy
60540.17,2024-09-17 18:00:00,-18000.0,buy
59967.99,2024-09-17 19:00:00,-19000.0,buy
60120.0,2024-09-17 20:00:00,-20000.0,buy
60509.99,2024-09-18 03:00:00,-21000.0,buy
60629.79,2024-09-18 18:00:00,-22000.0,buy
61759.99,2024-09-18 23:00:00,-23000.0,buy
62226.0,2024-09-19 00:00:00,-24000.0,buy
62005.99,2024-09-19 01:00:00,-25000.0,buy
63160.0,2024-09-22 19:00:00,-26000.0,buy
63208.0,2024-09-22 20:00:00,-27000.0,buy
63881.51,2024-09-22 22:00:00,-28000.0,buy
63578.76,2024-09-22 23:00:00,-29000.0,buy
63577.88,2024-09-23 00:00:00,-30000.0,buy
63826.8,2024-09-23 01:00:00,-31000.0,buy
63940.47,2024-09-23 02:00:00,-32000.0,buy
64354.0,2024-09-23 03:00:00,-33000.0,buy
63912.3,2024-09-23 04:00:00,-34000.0,buy
63754.0,2024-09-23 05:00:00,-35000.0,buy
63671.42,2024-09-23 06:00:00,-36000.0,buy
63548.82,2024-09-23 07:00:00,-37000.0,buy
63492.01,2024-09-23 08:00:00,-38000.0,buy
63635.69,2024-09-23 09:00:00,-39000.0,buy
63496.96,2024-09-23 10:00:00,-40000.0,buy
64292.34,2024-09-24 19:00:00,-41000.0,buy
64215.01,2024-09-24 20:00:00,-42000.0,buy
64126.93,2024-09-25 00:00:00,-43000.0,buy
64390.01,2024-09-25 01:00:00,-44000.0,buy
63806.0,2024-09-25 06:00:00,-45000.0,buy
65229.03,2024-09-26 15:00:00,-46000.0,buy
65338.0,2024-09-26 16:00:00,-47000.0,buy
65132.54,2024-09-26 17:00:00,-48000.0,buy
64711.06,2024-09-26 19:00:00,-49000.0,buy
65344.79,2024-09-27 06:00:00,-50000.0,buy
66242.66,2024-09-27 14:00:00,-51000.0,buy
66006.01,2024-09-27 15:00:00,-52000.0,buy
66303.03,2024-09-27 16:00:00,-53000.0,buy
65915.61,2024-09-27 17:00:00,-54000.0,buy
64045.92,2024-10-01 07:00:00,-55000.0,buy
63956.0,2024-10-01 08:00:00,-56000.0,buy
63864.46,2024-10-01 09:00:00,-57000.0,buy
63991.89,2024-10-07 14:00:00,-58000.0,buy
63819.9,2024-10-07 16:00:00,-59000.0,buy
63819.99,2024-10-07 17:00:00,-60000.0,buy
63382.0,2024-10-07 19:00:00,-61000.0,buy
62778.0,2024-10-08 14:00:00,-62000.0,buy
62895.11,2024-10-13 21:00:00,-63000.0,buy
62837.99,2024-10-13 22:00:00,-64000.0,buy
62631.83,2024-10-14 01:00:00,-65000.0,buy
64299.99,2024-10-14 03:00:00,-66000.0,buy
64137.99,2024-10-14 04:00:00,-67000.0,buy
