price,timestamp,capital,action
59769.11,2024-09-14 13:00:00,-568555.0549999999,buy
59914.0,2024-09-14 14:00:00,-574546.455,buy
59876.0,2024-09-14 15:00:00,-580534.0549999999,buy
59981.99,2024-09-14 16:00:00,-586532.254,buy
59885.26,2024-09-14 17:00:00,-592520.7799999999,buy
59786.0,2024-09-14 18:00:00,-598499.3799999999,buy
59810.0,2024-09-14 19:00:00,-604480.3799999999,buy
60024.01,2024-09-14 20:00:00,-610482.7809999998,buy
60036.0,2024-09-14 21:00:00,-616486.3809999998,buy
60006.97,2024-09-14 22:00:00,-622487.0779999999,buy
59993.03,2024-09-14 23:00:00,-628486.3809999998,buy
60025.95,2024-09-15 00:00:00,-634488.9759999998,buy
60235.22,2024-09-15 01:00:00,-640512.4979999998,buy
60238.01,2024-09-15 02:00:00,-646536.2989999998,buy
60155.93,2024-09-15 03:00:00,-652551.8919999998,buy
60117.99,2024-09-15 04:00:00,-658563.6909999998,buy
60160.0,2024-09-15 05:00:00,-664579.6909999998,buy
60164.01,2024-09-15 06:00:00,-670596.0919999997,buy
60196.0,2024-09-15 07:00:00,-676615.6919999997,buy
60069.99,2024-09-15 08:00:00,-682622.6909999996,buy
60016.0,2024-09-15 09:00:00,-688624.2909999996,buy
59991.3,2024-09-15 10:00:00,-694623.4209999996,buy
60000.51,2024-09-15 11:00:00,-700623.4719999996,buy
60104.39,2024-09-15 12:00:00,-706633.9109999996,buy
60189.98,2024-09-15 13:00:00,-712652.9089999996,buy
60279.52,2024-09-15 14:00:00,-718680.8609999997,buy
60335.41,2024-09-15 15:00:00,-724714.4019999997,buy
59950.05,2024-09-15 16:00:00,-730709.4069999997,buy
59814.07,2024-09-15 17:00:00,-736690.8139999997,buy
59971.09,2024-09-15 18:00:00,-742687.9229999997,buy
59878.22,2024-09-15 19:00:00,-748675.7449999998,buy
59795.99,2024-09-15 20:00:00,-754655.3439999998,buy
59651.69,2024-09-15 21:00:00,-760620.5129999998,buy
59430.31,2024-09-15 22:00:00,-766563.5439999998,buy
59132.0,2024-09-15 23:00:00,-772476.7439999997,buy
58666.36,2024-09-16 00:00:00,-778343.3799999998,buy
58607.07,2024-09-16 01:00:00,-784204.0869999998,buy
58263.99,2024-09-16 02:00:00,-790030.4859999998,buy
58575.09,2024-09-16 03:00:00,-795887.9949999998,buy
58352.0,2024-09-16 04:00:00,-801723.1949999997,buy
58670.0,2024-09-16 05:00:00,-807590.1949999997,buy
58707.43,2024-09-16 06:00:00,-813460.9379999997,buy
58911.1,2024-09-16 07:00:00,-819352.0479999997,buy
58924.98,2024-09-16 08:00:00,-825244.5459999997,buy
58636.54,2024-09-16 09:00:00,-831108.1999999997,buy
58749.99,2024-09-16 10:00:00,-836983.1989999997,buy
58663.99,2024-09-16 11:00:00,-842849.5979999996,buy
58527.99,2024-09-16 12:00:00,-848702.3969999996,buy
58497.1,2024-09-16 13:00:00,-854552.1069999996,buy
57604.0,2024-09-16 14:00:00,-860312.5069999996,buy
57881.69,2024-09-16 15:00:00,-866100.6759999996,buy
57809.98,2024-09-16 16:00:00,-871881.6739999996,buy
58176.01,2024-09-16 17:00:00,-877699.2749999997,buy
57896.0,2024-09-16 18:00:00,-883488.8749999997,buy
57943.99,2024-09-16 19:00:00,-889283.2739999996,buy
57687.99,2024-09-16 20:00:00,-895052.0729999996,buy
57995.5,2024-09-16 21:00:00,-900851.6229999997,buy
57970.01,2024-09-16 22:00:00,-906648.6239999997,buy
58213.99,2024-09-16 23:00:00,-912470.0229999997,buy
57630.01,2024-09-17 00:00:00,-918233.0239999997,buy
57896.0,2024-09-17 01:00:00,-924022.6239999997,buy
58115.52,2024-09-17 02:00:00,-929834.1759999997,buy
58060.0,2024-09-17 03:00:00,-935640.1759999997,buy
58246.01,2024-09-17 04:00:00,-941464.7769999998,buy
58642.76,2024-09-17 05:00:00,-947329.0529999997,buy
58488.0,2024-09-17 06:00:00,-953177.8529999998,buy
58695.39,2024-09-17 07:00:00,-959047.3919999998,buy
58792.0,2024-09-17 08:00:00,-964926.5919999997,buy
58966.48,2024-09-17 09:00:00,-970823.2399999998,buy
59236.0,2024-09-17 10:00:00,-976746.8399999997,buy
59080.99,2024-09-17 11:00:00,-982654.9389999998,buy
59381.1,2024-09-17 12:00:00,-988593.0489999998,buy
58966.0,2024-09-17 13:00:00,-994489.6489999997,buy
59846.0,2024-09-18 11:00:00,-1000474.2489999997,buy
59978.24,2024-09-18 12:00:00,-1006472.0729999997,buy
59508.5,2024-09-18 13:00:00,-1012422.9229999997,buy
59487.6,2024-09-18 14:00:00,-1018371.6829999997,buy
59429.18,2024-09-18 15:00:00,-1024314.6009999997,buy
59915.26,2024-09-18 16:00:00,-1030306.1269999996,buy
60013.01,2024-09-18 17:00:00,-1036307.4279999996,buy
60629.79,2024-09-18 18:00:00,-1042370.4069999997,buy
60057.99,2024-09-18 19:00:00,-1048376.2059999998,buy
60230.01,2024-09-18 20:00:00,-1054399.2069999997,buy
60199.46,2024-09-18 21:00:00,-1060419.1529999997,buy
60684.78,2024-09-18 22:00:00,-1066487.6309999996,buy
61759.99,2024-09-18 23:00:00,-1072663.6299999997,buy
62226.0,2024-09-19 00:00:00,-1078886.2299999997,buy
62005.99,2024-09-19 01:00:00,-1085086.8289999997,buy
62204.32,2024-09-19 02:00:00,-1091307.2609999997,buy
62117.99,2024-09-19 03:00:00,-1097519.0599999998,buy
62082.0,2024-09-19 04:00:00,-1103727.2599999998,buy
61990.42,2024-09-19 05:00:00,-1109926.3019999997,buy
62020.6,2024-09-19 06:00:00,-1116128.3619999997,buy
62093.99,2024-09-19 07:00:00,-1122337.7609999997,buy
61932.0,2024-09-19 08:00:00,-1128530.9609999997,buy
62272.01,2024-09-19 09:00:00,-1134758.1619999995,buy
62320.01,2024-09-19 10:00:00,-1140990.1629999995,buy
62645.44,2024-09-19 11:00:00,-1147254.7069999995,buy
62924.07,2024-09-19 12:00:00,-1153547.1139999994,buy
63035.98,2024-09-19 13:00:00,-1159850.7119999994,buy
62935.83,2024-09-19 14:00:00,-1166144.2949999995,buy
63154.04,2024-09-19 15:00:00,-1172459.6989999996,buy
63556.92,2024-09-19 16:00:00,-1178815.3909999996,buy
63709.22,2024-09-19 17:00:00,-1185186.3129999996,buy
63628.0,2024-09-19 18:00:00,-1191549.1129999997,buy
63251.99,2024-09-19 19:00:00,-1197874.3119999997,buy
63016.74,2024-09-19 20:00:00,-1204175.9859999998,buy
62879.76,2024-09-19 21:00:00,-1210463.9619999998,buy
62940.01,2024-09-19 22:00:00,-1216757.9629999998,buy
62947.99,2024-09-19 23:00:00,-1223052.7619999999,buy
62756.4,2024-09-20 00:00:00,-1229328.4019999998,buy
